File,Key,UntranslatedValue,EnglishString,IsDuplicate,OccurrenceCount,DuplicateLocations
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimWhatAreYouClaimingFor.json","errors.claimType.required","cySelect if the defendant is claiming for a sum of money or compensation, both or something else","Select if the defendant is claiming for a sum of money or compensation, both or something else","FALSE","1","counterClaimWhatAreYouClaimingFor.json::errors.claimType.required"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimYouNeedToApplyForHelpWithYourFees.json","pageTitle","cyApply for help with fees","Apply for help with fees","FALSE","1","counterClaimYouNeedToApplyForHelpWithYourFees.json::pageTitle"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimYouNeedToApplyForHelpWithYourFees.json","heading","cyThe defendant needs to apply for help with their counterclaim fee","The defendant needs to apply for help with their counterclaim fee","FALSE","1","counterClaimYouNeedToApplyForHelpWithYourFees.json::heading"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimYouNeedToApplyForHelpWithYourFees.json","youNeedToApplyBeforeContinuing","cyYou need to <a href=""https://www.gov.uk/get-help-with-court-fees"" target=""_blank"" rel=""noopener noreferrer"" class=""govuk-link"">apply for Help with Fees on the defendant’s behalf (GOV.UK, opens in new tab)</a> before you can continue with this counterclaim.","You need to <a href=""https://www.gov.uk/get-help-with-court-fees"" target=""_blank"" rel=""noopener noreferrer"" class=""govuk-link"">apply for Help with Fees on the defendant’s behalf (GOV.UK, opens in new tab)</a> before you can continue with this counterclaim.","FALSE","1","counterClaimYouNeedToApplyForHelpWithYourFees.json::youNeedToApplyBeforeContinuing"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimYouNeedToApplyForHelpWithYourFees.json","enterCourtFormNumber","cyEnter the court form number 'XXX' when asked. This will be one of the first questions when you apply.","Enter the court form number 'XXX' when asked. This will be one of the first questions when you apply.","FALSE","1","counterClaimYouNeedToApplyForHelpWithYourFees.json::enterCourtFormNumber"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimYouNeedToApplyForHelpWithYourFees.json","afterYouHaveApplied","cyAfter you have applied you will receive a Help with Fees reference number. You should enter the reference number when you return to this counterclaim.","After you have applied you will receive a Help with Fees reference number. You should enter the reference number when you return to this counterclaim.","FALSE","1","counterClaimYouNeedToApplyForHelpWithYourFees.json::afterYouHaveApplied"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimYouNeedToApplyForHelpWithYourFees.json","ifYouReceiveAnyBenefit","cyIf the defendant receives any benefit that qualifies them for Help with Fees, you must include evidence of it when you apply online for help with their fees.","If the defendant receives any benefit that qualifies them for Help with Fees, you must include evidence of it when you apply online for help with their fees.","FALSE","1","counterClaimYouNeedToApplyForHelpWithYourFees.json::ifYouReceiveAnyBenefit"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimYouNeedToApplyForHelpWithYourFees.json","ifYouHaveYourHWFReference","cyIf you have their Help with Fees reference number you can <a href=""./counter-claim-have-you-applied-for-help"" rel=""noopener noreferrer"" class=""govuk-link"">enter it here</a>.","If you have their Help with Fees reference number you can <a href=""./counter-claim-have-you-applied-for-help"" rel=""noopener noreferrer"" class=""govuk-link"">enter it here</a>.","FALSE","1","counterClaimYouNeedToApplyForHelpWithYourFees.json::ifYouHaveYourHWFReference"
"src/main/assets/locales/cy/respondToClaim/legalrep/uploadDocument.json","heading","cy Upload additional documents (Optional)","Upload additional documents (Optional)","FALSE","1","uploadDocument.json::heading"
"src/main/assets/locales/cy/respondToClaim/legalrep/uploadDocument.json","guidanceText","cy Upload any documents that you think are relevant to the response. The claimant will be able to see any documents you upload.","Upload any documents that you think are relevant to the response. The claimant will be able to see any documents you upload.","FALSE","1","uploadDocument.json::guidanceText"
"src/main/assets/locales/cy/respondToClaim/legalrep/uploadDocument.json","beforeUploadHeading","cy Before you upload your documents","Before you upload your documents","FALSE","1","uploadDocument.json::beforeUploadHeading"
"src/main/assets/locales/cy/respondToClaim/legalrep/uploadDocument.json","beforeUploadText","cy Give your document a name that explains what it is.","Give your document a name that explains what it is.","FALSE","1","uploadDocument.json::beforeUploadText"
